example_id ,true_sentence                                                 ,false_sentence                                                 ,token_probability_true_sentence                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,token_probability_false_sentence
        31 ,Christopher Columbus reached America in 1492                  ,Christopher Columbus reached America in 1592                   ,"{""L14_H22"": 2.6226043701171875e-05, ""L5_H8"": 0.0002689361572265625, ""L2_H16"": 7.599592208862305e-06, ""L14_H2"": 0.0064697265625, ""L18_H11"": 0.05322265625, ""L21_H20"": 0.00323486328125, ""L17_H9"": 0.416015625, ""L5_H6"": 0.0002651214599609375, ""L2_H19"": 3.8623809814453125e-05, ""L23_H10"": 0.020751953125, ""L24_H4"": 0.01397705078125, ""L17_H2"": 0.080078125, ""L2_H17"": 4.1484832763671875e-05}"                                                                                                                                                                                                                                                                               ,"{""L14_H22"": 8.158385753631592e-07, ""L5_H8"": 6.818771362304688e-05, ""L2_H16"": 7.078051567077637e-07, ""L14_H2"": 0.000640869140625, ""L18_H11"": 0.0201416015625, ""L21_H20"": 0.0028533935546875, ""L17_H9"": 0.1875, ""L5_H6"": 9.953975677490234e-06, ""L2_H19"": 9.870529174804688e-05, ""L23_H10"": 0.009521484375, ""L24_H4"": 0.01416015625, ""L17_H2"": 0.04931640625, ""L2_H17"": 4.798173904418945e-06}"
        33 ,Pluto was reclassified as a dwarf planet in 2006              ,Pluto was reclassified as a dwarf planet in 2008               ,"{""L14_H22"": 0.0005035400390625, ""L2_H16"": 1.0952353477478027e-06, ""L5_H8"": 0.00017452239990234375, ""L17_H9"": 0.1796875, ""L24_H5"": 0.00762939453125, ""L2_H19"": 3.552436828613281e-05, ""L18_H11"": 0.0284423828125, ""L14_H2"": 0.0654296875, ""L2_H17"": 4.8160552978515625e-05, ""L21_H20"": 0.00848388671875, ""L5_H6"": 0.0002460479736328125, ""L17_H2"": 0.1953125, ""L23_H10"": 0.00762939453125}"                                                                                                                                                                                                                                                                                     ,"{""L14_H22"": 0.0026397705078125, ""L2_H16"": 7.525086402893066e-07, ""L5_H8"": 0.010986328125, ""L17_H9"": 0.69140625, ""L24_H5"": 0.0169677734375, ""L2_H19"": 0.00015926361083984375, ""L18_H11"": 0.043701171875, ""L14_H2"": 0.0634765625, ""L2_H17"": 1.895427703857422e-05, ""L21_H20"": 0.051025390625, ""L5_H6"": 0.00064849853515625, ""L17_H2"": 0.34765625, ""L23_H10"": 0.0224609375}"
        34 ,The chemical symbol for sodium is Na                          ,The chemical symbol for sodium is Ca                           ,"{""L14_H22"": 0.271484375, ""L2_H16"": 0.427734375, ""L17_H9"": 0.06689453125, ""L5_H8"": 0.07666015625, ""L12_H20"": 0.08984375, ""L2_H19"": 0.056640625, ""L14_H2"": 0.1064453125, ""L21_H20"": 0.0186767578125, ""L8_H2"": 0.05224609375, ""L24_H5"": 0.01104736328125, ""L17_H2"": 0.03955078125, ""L23_H10"": 0.04541015625, ""L16_H22"": 0.203125}"                                                                                                                                                                                                                                                                                                                                                ,"{""L14_H22"": 0.26171875, ""L2_H16"": 0.3125, ""L17_H9"": 0.053466796875, ""L5_H8"": 0.1689453125, ""L12_H20"": 0.6328125, ""L2_H19"": 0.177734375, ""L14_H2"": 0.1181640625, ""L21_H20"": 0.027099609375, ""L8_H2"": 0.05029296875, ""L24_H5"": 0.02783203125, ""L17_H2"": 0.08935546875, ""L23_H10"": 0.08544921875, ""L16_H22"": 0.625}"
        36 ,Mars is often called the Red Planet                           ,Mars is often called the Red Star                              ,"{""L14_H22"": 0.1611328125, ""L2_H16"": 0.349609375, ""L14_H2"": 0.1376953125, ""L5_H8"": 0.12158203125, ""L2_H19"": 0.1396484375, ""L18_H11"": 0.1181640625, ""L21_H20"": 0.06787109375, ""L17_H2"": 0.3203125, ""L17_H9"": 0.07958984375, ""L2_H17"": 0.263671875, ""L23_H10"": 0.2392578125, ""L24_H5"": 0.05078125, ""L24_H3"": 0.14453125, ""L18_H10"": 0.017578125}"                                                                                                                                                                                                                                                                                                                               ,"{""L14_H22"": 0.734375, ""L2_H16"": 0.427734375, ""L14_H2"": 0.2255859375, ""L5_H8"": 0.7109375, ""L2_H19"": 0.349609375, ""L18_H11"": 0.27734375, ""L21_H20"": 0.0184326171875, ""L17_H2"": 0.375, ""L17_H9"": 0.08056640625, ""L2_H17"": 0.1328125, ""L23_H10"": 0.302734375, ""L24_H5"": 0.0966796875, ""L24_H3"": 0.1337890625, ""L18_H10"": 0.0361328125}"
        37 ,Mount Everest is located in Nepal                             ,Mount Everest is located in Peru                               ,"{""L14_H22"": 0.05712890625, ""L5_H8"": 0.142578125, ""L2_H16"": 0.234375, ""L17_H2"": 0.0235595703125, ""L17_H9"": 0.021484375, ""L2_H19"": 0.04736328125, ""L12_H6"": 0.10400390625}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,"{""L14_H22"": 0.1787109375, ""L5_H8"": 0.1650390625, ""L2_H16"": 0.1943359375, ""L17_H2"": 0.130859375, ""L17_H9"": 0.0137939453125, ""L2_H19"": 0.1328125, ""L12_H6"": 0.26171875}"
        39 ,Thomas Jefferson was the third president of the United States ,Thomas Jefferson was the third president of the United Kingdom ,"{""L14_H22"": 0.07080078125, ""L2_H16"": 0.2421875, ""L5_H8"": 0.0299072265625, ""L14_H2"": 0.0177001953125, ""L2_H19"": 0.06298828125, ""L17_H9"": 0.005615234375, ""L2_H17"": 0.1591796875, ""L18_H11"": 0.10107421875, ""L21_H20"": 0.00885009765625, ""L17_H2"": 0.0299072265625}"                                                                                                                                                                                                                                                                                                                                                                                                                   ,"{""L14_H22"": 0.84375, ""L2_H16"": 0.287109375, ""L5_H8"": 0.84765625, ""L14_H2"": 0.1064453125, ""L2_H19"": 0.259765625, ""L17_H9"": 0.019287109375, ""L2_H17"": 0.1455078125, ""L18_H11"": 0.275390625, ""L21_H20"": 0.01031494140625, ""L17_H2"": 0.255859375}"
        41 ,Beethoven composed the Ninth Symphony                         ,Beethoven composed the Ninth Opera                             ,"{""L14_H22"": 0.3046875, ""L2_H16"": 0.353515625, ""L14_H2"": 0.04736328125, ""L5_H8"": 0.1845703125, ""L2_H19"": 0.10498046875, ""L21_H20"": 0.10693359375, ""L17_H2"": 0.042724609375, ""L18_H10"": 0.042236328125, ""L23_H10"": 0.10693359375, ""L24_H4"": 0.0634765625, ""L16_H22"": 0.039794921875, ""L2_H15"": 0.12353515625, ""L24_H5"": 0.052001953125, ""L2_H17"": 0.138671875, ""L14_H1"": 0.06884765625, ""L17_H0"": 0.19140625, ""L24_H3"": 0.06591796875, ""L8_H2"": 0.1318359375, ""L18_H11"": 0.09228515625, ""L6_H22"": 0.0673828125}"                                                                                                                                                   ,"{""L14_H22"": 0.326171875, ""L2_H16"": 0.33203125, ""L14_H2"": 0.0216064453125, ""L5_H8"": 0.423828125, ""L2_H19"": 0.23828125, ""L21_H20"": 0.06689453125, ""L17_H2"": 0.2734375, ""L18_H10"": 0.038330078125, ""L23_H10"": 0.2177734375, ""L24_H4"": 0.080078125, ""L16_H22"": 0.87890625, ""L2_H15"": 0.1279296875, ""L24_H5"": 0.04541015625, ""L2_H17"": 0.0830078125, ""L14_H1"": 0.2490234375, ""L17_H0"": 0.6171875, ""L24_H3"": 0.1357421875, ""L8_H2"": 0.6015625, ""L18_H11"": 0.1025390625, ""L6_H22"": 0.032470703125}"
        42 ,The Great Barrier Reef is located in Australia                ,The Great Barrier Reef is located in Spain                     ,"{""L14_H22"": 0.028076171875, ""L2_H16"": 0.2119140625, ""L5_H8"": 0.0791015625, ""L21_H20"": 0.0120849609375, ""L2_H19"": 0.05712890625, ""L24_H3"": 0.00732421875, ""L8_H2"": 0.07568359375, ""L17_H9"": 0.01806640625, ""L24_H5"": 0.0047607421875}"                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,"{""L14_H22"": 0.142578125, ""L2_H16"": 0.32421875, ""L5_H8"": 0.318359375, ""L21_H20"": 0.004425048828125, ""L2_H19"": 0.18359375, ""L24_H3"": 0.013671875, ""L8_H2"": 0.1650390625, ""L17_H9"": 0.02734375, ""L24_H5"": 0.006927490234375}"
        43 ,Mount Kilimanjaro is in Tanzania                              ,Mount Kilimanjaro is in Uganda                                 ,"{""L14_H22"": 0.2412109375, ""L2_H16"": 0.32421875, ""L5_H8"": 0.06396484375, ""L14_H2"": 0.072265625, ""L24_H5"": 0.00970458984375, ""L17_H2"": 0.08203125, ""L7_H18"": 0.08251953125}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"{""L14_H22"": 0.390625, ""L2_H16"": 0.263671875, ""L5_H8"": 0.5, ""L14_H2"": 0.02490234375, ""L24_H5"": 0.005523681640625, ""L17_H2"": 0.2333984375, ""L7_H18"": 0.69140625}"
        44 ,The first element on the periodic table is Hydrogen           ,The first element on the periodic table is Helium              ,"{""L14_H22"": 0.002288818359375, ""L5_H8"": 9.918212890625e-05, ""L2_H16"": 4.0605664253234863e-07, ""L14_H2"": 0.10498046875, ""L21_H20"": 0.0087890625, ""L17_H9"": 0.007598876953125, ""L2_H19"": 7.915496826171875e-05, ""L24_H5"": 0.01544189453125, ""L2_H17"": 5.8650970458984375e-05, ""L18_H11"": 0.11572265625, ""L17_H2"": 0.04248046875, ""L18_H10"": 0.0322265625}"                                                                                                                                                                                                                                                                                                                         ,"{""L14_H22"": 0.00074005126953125, ""L5_H8"": 0.0004177093505859375, ""L2_H16"": 7.562339305877686e-07, ""L14_H2"": 0.040771484375, ""L21_H20"": 0.0023040771484375, ""L17_H9"": 0.00799560546875, ""L2_H19"": 0.00019073486328125, ""L24_H5"": 0.0036468505859375, ""L2_H17"": 2.300739288330078e-05, ""L18_H11"": 0.04541015625, ""L17_H2"": 0.033203125, ""L18_H10"": 0.0137939453125}"
        45 ,Python is a popular programming language                      ,Python is a popular programming dessert                        ,"{""L14_H22"": 0.208984375, ""L14_H2"": 0.2353515625, ""L2_H16"": 0.314453125, ""L5_H8"": 0.08203125, ""L21_H20"": 0.4609375, ""L18_H11"": 0.2490234375, ""L2_H19"": 0.0703125, ""L17_H2"": 0.076171875, ""L23_H10"": 0.1962890625, ""L17_H9"": 0.06982421875, ""L24_H5"": 0.1767578125}"                                                                                                                                                                                                                                                                                                                                                                                                                 ,"{""L14_H22"": 0.6953125, ""L14_H2"": 0.42578125, ""L2_H16"": 0.37890625, ""L5_H8"": 0.73046875, ""L21_H20"": 0.0966796875, ""L18_H11"": 0.375, ""L2_H19"": 0.2177734375, ""L17_H2"": 0.443359375, ""L23_H10"": 0.376953125, ""L17_H9"": 0.302734375, ""L24_H5"": 0.068359375}"
        48 ,The scientific name for humans is Homo sapiens                ,The scientific name for humans is Homo erectus                 ,"{""L14_H22"": 0.00116729736328125, ""L2_H16"": 1.3932585716247559e-06, ""L17_H9"": 0.01123046875, ""L5_H8"": 0.00098419189453125, ""L14_H2"": 0.000812530517578125, ""L21_H20"": 0.001922607421875, ""L2_H19"": 0.0003948211669921875, ""L23_H10"": 0.01116943359375, ""L18_H10"": 0.09130859375, ""L17_H2"": 0.00567626953125, ""L18_H11"": 0.0108642578125, ""L24_H5"": 0.002197265625, ""L2_H17"": 0.000141143798828125, ""L21_H18"": 0.004302978515625, ""L8_H2"": 0.0849609375}"                                                                                                                                                                                                                    ,"{""L14_H22"": 0.000911712646484375, ""L2_H16"": 1.3932585716247559e-06, ""L17_H9"": 0.0291748046875, ""L5_H8"": 0.0023956298828125, ""L14_H2"": 0.0027008056640625, ""L21_H20"": 0.003997802734375, ""L2_H19"": 0.00017547607421875, ""L23_H10"": 0.0179443359375, ""L18_H10"": 0.059326171875, ""L17_H2"": 0.0177001953125, ""L18_H11"": 0.02685546875, ""L24_H5"": 0.004486083984375, ""L2_H17"": 9.59634780883789e-06, ""L21_H18"": 0.004791259765625, ""L8_H2"": 0.2578125}"
        49 ,Mahatma Gandhi was born in India                              ,Mahatma Gandhi was born in Pakistan                            ,"{""L14_H22"": 0.361328125, ""L2_H16"": 0.427734375, ""L14_H2"": 0.07275390625, ""L5_H8"": 0.09375, ""L24_H5"": 0.00665283203125, ""L17_H9"": 0.04541015625, ""L2_H19"": 0.06103515625, ""L26_H8"": 0.018310546875, ""L24_H3"": 0.00933837890625, ""L18_H11"": 0.0361328125}"                                                                                                                                                                                                                                                                                                                                                                                                                             ,"{""L14_H22"": 0.298828125, ""L2_H16"": 0.271484375, ""L14_H2"": 0.01220703125, ""L5_H8"": 0.52734375, ""L24_H5"": 0.006561279296875, ""L17_H9"": 0.078125, ""L2_H19"": 0.1279296875, ""L26_H8"": 0.01397705078125, ""L24_H3"": 0.005615234375, ""L18_H11"": 0.03857421875}"
        50 ,HTML stands for HyperText Markup Language.                    ,HTML stands for HyperText Markup Protocol.                     ,"{""L14_H22"": 0.0238037109375, ""L5_H8"": 0.03515625, ""L2_H16"": 0.0002765655517578125, ""L14_H2"": 0.00139617919921875, ""L8_H2"": 0.00787353515625, ""L24_H3"": 0.0011749267578125, ""L17_H2"": 0.005859375, ""L24_H5"": 0.0032196044921875, ""L5_H6"": 0.03173828125, ""L18_H11"": 0.00823974609375, ""L2_H19"": 0.00084686279296875, ""L23_H10"": 0.00537109375, ""L10_H3"": 0.004608154296875}"                                                                                                                                                                                                                                                                                                    ,"{""L14_H22"": 0.000629425048828125, ""L5_H8"": 0.0020751953125, ""L2_H16"": 8.344650268554688e-06, ""L14_H2"": 1.8715858459472656e-05, ""L8_H2"": 7.677078247070312e-05, ""L24_H3"": 4.649162292480469e-06, ""L17_H2"": 0.01019287109375, ""L24_H5"": 9.179115295410156e-06, ""L5_H6"": 0.0001354217529296875, ""L18_H11"": 0.0031280517578125, ""L2_H19"": 0.00023555755615234375, ""L23_H10"": 0.00010967254638671875, ""L10_H3"": 0.0003490447998046875}"
